youtube_url,mp4_filenames
https://www.youtube.com/watch?v=zR2Yzu2XD2Q,tieng-chim-de-giun-goi-bay-chuan
https://www.youtube.com/watch?v=S6-6myr1_Nk,tieng-chim-re-giun-moi-cuc-chuan-thu-hut-chim
https://www.youtube.com/watch?v=zscSzZFwbD0,tieng-chim-ri-ban-moi-nhat-co-tieng-goi-va-tieng-ru-xuong
https://www.youtube.com/watch?v=bHjFzio4Wnc,tieng-chim-ri-goi-bay-sieu-toc-do
https://www.youtube.com/watch?v=453BXSWzC5Q,tieng-chim-ri-moi-goi-dan-cuc-hay-mp3
https://www.youtube.com/watch?v=Od81kVYPc5c,tieng-chim-ri-den-moi-file-am-thanh-chim-moi-chuan-nhat
https://www.youtube.com/watch?v=jXirCkGbX9U,tie-ng-chim-ri-non
https://www.youtube.com/watch?v=sFm4AWD9eQM,tieng-chim-ri-sac-o-moi-keu-chuan-goi-bay
https://www.youtube.com/watch?v=HOhELf2-Cog,hoa-mi-trong-mai-hot-solo-kich-boi-hoa-mi-hot-voi-giong-ga-gay-doc-la-kem-tieng-mai-xuy-kich-trong
https://www.youtube.com/watch?v=Mf2zDV1U4vw,hoa-mi-mai-hot-lien-tuc-thuc-trong-cang-lua-hot-nhieu
https://www.youtube.com/watch?v=FIDas4w6Jy4,hoa-mi-trong-mai-hot-cuc-hay-kem-tieng-chim-mai-xuy-cuc-chat
https://www.youtube.com/watch?v=kZ7N_nVdPbs,tieng-chim-hoa-mi-dat-hot-cuc-dinh
https://www.youtube.com/watch?v=Fhu6Zv7y608,hoa-mi-hot-dau-chat-giong-rung-cuc-hay-khong-pha-tap
https://www.youtube.com/watch?v=Qt_Eb-ZWHzc,hoa-mi-hot-hay-nhieu-giong-hot-ca-ngay
https://www.youtube.com/watch?v=YGB6d-v0RHI,30-phut-hoa-mi-mai-xuy-kich-trong-hay-nhat
https://www.youtube.com/watch?v=k4T-ozpMD-4,chim-hoa-mi-mai-moi-xuy-lien-tuc-thuc-chim-trong-boi-mau-ra-giong-hot-hay
https://www.youtube.com/watch?v=IIMHC-2XerI,hoa-mi-hot-giong-rung-hay-nhat-vinh-bac-bo
https://www.youtube.com/watch?v=jJlNtKPCvfY,tieng-chim-yen-hot-hay
https://www.youtube.com/watch?v=KJUSjtcGSgc,chim-yen-phung-hot-goi-nhau-tuyet-hay
https://www.youtube.com/watch?v=7EG0r7gWKSw,am-thanh-du-chim-yen-ngoai-troi-dai-gan-60-phut
https://www.youtube.com/watch?v=7YmP1O3AZBg,tieng-chim-yen-malaysia-chuan
https://www.youtube.com/watch?v=Ak6IAYwGOqM,tieng-chim-yen-moi-tieng-goi-goc-cua-chim-yen-tu-thien-nhien
https://www.youtube.com/watch?v=I-RLtGrW-aY,am-thanh-test-chim-yen
https://www.youtube.com/watch?v=es-VeLf8k30,yen-hot-timbrado-hot-kich-giong-hay-keu-nhu-may
https://www.youtube.com/watch?v=d-ewwxZVvmM,yen-hot-agate-mat-do-ca-cai-luong
https://www.youtube.com/watch?v=qM4p0RXvjWw,chim-hoang-yen-hot-du-mai
https://www.youtube.com/watch?v=cYebhEZJ9L4,chim-hoang-yen-hot-dau-hay-nhat
https://www.youtube.com/watch?v=eWhOMij46AE,tieng-chim-yen-phung-keu-goi-ban
https://www.youtube.com/watch?v=r-1q6kI5EaU,chim-chien-chien-hot-hay-giong-ngan-dai-nhat
https://www.youtube.com/watch?v=36wQJh45YJI,chim-son-ca-hot-kich-boi-lam-moi
https://www.youtube.com/watch?v=O8JXEw4CDMk,tieng-chim-son-ca-hot-giong-rung-cuc-chuan
https://www.youtube.com/watch?v=9ECU41oHRqc,chim-thanh-tuoc-hot-nhieu-giong-sieu-hay
https://www.youtube.com/watch?v=ntzFajXVXhM,tieng-thanh-tuoc-trung-quoc-mai-dung-de-bay-boi
https://www.youtube.com/watch?v=KUKMQMMavdY,thanh-tuoc-trung-quoc-mai-hot-chuan-kich-trong-cam-lua
https://www.youtube.com/watch?v=W2cRC0KwLYQ,xanh-tim-hot-dau-mua-duoi
https://www.youtube.com/watch?v=jDdJBTWY4_c,tieng-chim-yeng-hot-dung-de-luyen-giong
https://www.youtube.com/watch?v=IcT6WP2AoX8,luyen-chim-yeng-noi-chao-khach
https://www.youtube.com/watch?v=750egn1qIkA,tieng-keu-cua-chim-chuong-trang-co-kha-nang-lam-thung-mang-nhi-con-nguoi
https://www.youtube.com/watch?v=LzToObSCkXo,tieng-chim-tieu-mi-trong-mai
https://www.youtube.com/watch?v=QaxFUJ7JO2k,tieu-mi-mai-hot-kich-trong
https://www.youtube.com/watch?v=CrNiWFA2HW4,tieng-chim-tieu-mi-gia-rung-giong-luyen-lay-cuc-dinh-hot-goi-ban
https://www.youtube.com/watch?v=eoP8_JHJJSc,kich-tieu-mi-hot-dau-3-cap-do-cho-tung-giai-doan-cua-chim-giup-chim-khong-bi-hoang
https://www.youtube.com/watch?v=OGD1zvWhvWo,chim-que-lam-hot-hay-nhat-moi-bay-chuan
https://www.youtube.com/watch?v=9hX7sStkOfY,chim-que-lam-mai-hot-thuc-trong
https://www.youtube.com/watch?v=LSLjm7eCMQk,tieng-hot-chim-dop-ruoi-xanh
https://www.youtube.com/watch?v=swSK8qCuFko,tieng-chim-goi-vit-moi-chuan-goi-boi-cuc-tot
https://www.youtube.com/watch?v=3bJsI7Xvxl0,tieng-chim-hong-tuoc-hot-hay
https://www.youtube.com/watch?v=h0B0qetxE7c,hong-tuoc-mai-hot-kich-trong-hieu-qua
https://www.youtube.com/watch?v=meNVMv2raSI,chim-cuong-hot-nghe-me-ly-ngam-thu-gian
https://www.youtube.com/watch?v=HTVowrxq0O4,luyen-chim-cuong-noi-chao-khach
https://www.youtube.com/watch?v=9MT3BTouJjc,tieng-hot-chim-cuong-goi-bay
https://www.youtube.com/watch?v=7spvtm2_j-M,tieng-chim-lua-hot-hay
https://www.youtube.com/watch?v=9QPpeZEdSUs,tieng-chim-oanh-duoi-trang-hot-moi-kich-boi
https://www.youtube.com/watch?v=IS9akpb78yM,tieng-chim-hoang-oanh-hot-hay
https://www.youtube.com/watch?v=tgp1ym4Zl84,tieng-chim-oanh-co-do-moi-chuan
https://www.youtube.com/watch?v=OO-RHqxwGn4,tieng-chim-cheo-beo-moi-chuan-nhat
https://www.youtube.com/watch?v=h9rcqEZndec,tieng-chim-cheo-beo-duoi-co-hot-cang-lua
https://www.youtube.com/watch?v=pSUlgMRwOMk,tieng-chim-cheo-beo-goi-bay-cuc-nhay
https://www.youtube.com/watch?v=JMI1jTRpC9s,chim-cheo-beo-duoi-ca-hot-hay
https://www.youtube.com/watch?v=3fwYTymhu00,tieng-chim-cu-meo-chuan-nhat
https://www.youtube.com/watch?v=Nsby-bFnmyI,tieng-chim-chang-nghich-moi-kem-tieng-chim-con
https://www.youtube.com/watch?v=ogD2-cHcBjU,tie-ng-chim-cha-ng-nghi-ch-mo-i-chua-n-nha-t
https://www.youtube.com/watch?v=pPxjml3T6_Y,tieng-chang-nghich-mat-do-goi-bay-ban-huy-diet-an-nhat
https://www.youtube.com/watch?v=P63GBO7BgMg,tieng-chim-bach-thanh-hot-hay
https://www.youtube.com/watch?v=FTzB-P1LQng,tieng-chim-boi-ca-ngoai-tu-nhien
https://www.youtube.com/watch?v=R_gKjn-USSI,tieng-chim-boi-ca-chai-chai-sa-sa-goi-dan-nghe-la-toi
https://www.youtube.com/watch?v=VdHbYsr3CEs,tieng-chim-boi-ca-moi-cuc-chuan
https://www.youtube.com/watch?v=OgtGhwnpJeI,tieng-chim-bong-lau-hay-cuc-chuan
https://www.youtube.com/watch?v=VDRJHlHE13o,tieng-chim-bong-lau-moi-goi-dan-cuc-chuan-mp3
https://www.youtube.com/watch?v=5Gf2Mivdtlw,tieng-chim-ca-kheo-chan-huong
https://www.youtube.com/watch?v=mWiD03iJC4Y,tieng-chim-cao-cat-hong-hoang
https://www.youtube.com/watch?v=90TbHc-QshE,tieng-chim-cat-goi-dan-chuan-nhat
https://www.youtube.com/watch?v=ZBK8kE7wLkU,tieng-chim-bo-cat-keu-moi-chuan
https://www.youtube.com/watch?v=sN4fDEs9GNw,tieng-chim-khach-keu-bay
https://www.youtube.com/watch?v=sKgGq4AXQIw,tieng-chim-khach-moi-chuan
https://www.youtube.com/watch?v=8Jy_ewWejmA,tieng-chim-thanh-lam-hot-kich-boi
https://www.youtube.com/watch?v=qjVcAQ9rd-o,tieng-co-keu-cuu-cuc-hap-dan
https://www.youtube.com/watch?v=eiXyyIHsimo,tieng-co-lua-chuan-danh-dem
https://www.youtube.com/watch?v=eR4dwmUT4Hs,tieng-co-huong-co-lua-goi-bay-danh-luoi-chuan
https://www.youtube.com/watch?v=EYA_9rqazUo,tieng-co-vac-danh-luoi-dem-danh-an-cuc-manh
https://www.youtube.com/watch?v=idbWMKIDuLw,tieng-co-ma-goi-bay-dung-am-thanh-bay-hieu-qua-cao
https://www.youtube.com/watch?v=JG6ShJavCTA,tieng-co-do-goi-bay-danh-luoi-chuan
